		Document: 7140			with 11652 symbols, 1463 words and 3258 tokens processed in 6.833181619644165 sec
		Document: 7139			with 37602 symbols, 4910 words and 10732 tokens processed in 16.262324571609497 sec
		Document: 7138			with 25684 symbols, 3575 words and 8075 tokens processed in 10.583545923233032 sec
		Document: 7137			with 24727 symbols, 3416 words and 7367 tokens processed in 13.390203475952148 sec
		Document: 7136			with 16509 symbols, 2247 words and 4766 tokens processed in 5.646238327026367 sec
		Document: 7135			with 16179 symbols, 1809 words and 4199 tokens processed in 7.732659101486206 sec
		Document: 7134			with 35863 symbols, 4460 words and 9470 tokens processed in 16.24573540687561 sec
		Document: 7133			with 16273 symbols, 2056 words and 4487 tokens processed in 7.429905414581299 sec
		Document: 7132			with 42330 symbols, 5846 words and 12842 tokens processed in 20.84704303741455 sec
		Document: 7131			with 17617 symbols, 2220 words and 5166 tokens processed in 8.854563236236572 sec
		Document: 7130			with 20274 symbols, 2465 words and 5543 tokens processed in 10.85374665260315 sec
		Document: 7129			with 21098 symbols, 2778 words and 6202 tokens processed in 11.846919059753418 sec
		Document: 7128			with 19899 symbols, 2258 words and 5259 tokens processed in 7.353863954544067 sec
		Document: 7127			with 18888 symbols, 2332 words and 5655 tokens processed in 10.439841985702515 sec
		Document: 7126			with 14262 symbols, 1691 words and 3719 tokens processed in 7.957517623901367 sec
		Document: 7125			with 30902 symbols, 3995 words and 8609 tokens processed in 16.559590816497803 sec
		Document: 7124			with 18519 symbols, 2226 words and 4798 tokens processed in 9.110341310501099 sec
		Document: 7123			with 15912 symbols, 1825 words and 4404 tokens processed in 10.471415996551514 sec
		Document: 7122			with 23402 symbols, 2716 words and 6222 tokens processed in 8.60588264465332 sec
		Document: 7121			with 20601 symbols, 2542 words and 5716 tokens processed in 9.803849697113037 sec
		Document: 7120			with 21040 symbols, 2583 words and 5906 tokens processed in 9.104481935501099 sec
		Document: 7119			with 36090 symbols, 4464 words and 9989 tokens processed in 15.653600454330444 sec
		Document: 7118			with 0 symbols, 1 words and 1 tokens processed in 1.106215000152588 sec
		Document: 7117			with 25242 symbols, 3423 words and 7520 tokens processed in 14.650723218917847 sec
		Document: 7116			with 24211 symbols, 2934 words and 6813 tokens processed in 11.717068433761597 sec
		Document: 7115			with 16532 symbols, 2074 words and 4496 tokens processed in 7.702686548233032 sec
		Document: 7114			with 33620 symbols, 4363 words and 9418 tokens processed in 16.427940845489502 sec
		Document: 7113			with 14514 symbols, 1840 words and 4009 tokens processed in 6.096761226654053 sec
		Document: 7112			with 17317 symbols, 2278 words and 4954 tokens processed in 7.486579179763794 sec
